sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	run.accession
EA18-0201	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438048
EA18-0202	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438049
EA18-0203	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438050
EA18-0204	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438051
EA18-0206	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438052
EA18-0213	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438055
EA18-0214	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438056
EA18-0215	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438057
EA18-0216	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438058
EA18-0217	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438059
EA18-0218	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438060
EA18-0219	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438061
EA18-0220	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438062
EA18-0222	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438063
EA18-0223	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438064
EA18-0224	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438065
