sample_id	run_ena	irods_path	bam_path	cram_path	read1_path	read2_path
VBS54952-6781STDY12150071	ERR9438128	/seq/illumina/runs/44/44101/lane2/plex2/44101_2#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438128/ERR9438128_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438128/ERR9438128_2.fastq.gz
VBS54953-6781STDY12150072	ERR9438129	/seq/illumina/runs/44/44101/lane2/plex3/44101_2#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438129/ERR9438129_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438129/ERR9438129_2.fastq.gz
VBS54954-6781STDY12150073	ERR9438130	/seq/illumina/runs/44/44101/lane2/plex4/44101_2#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438130/ERR9438130_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438130/ERR9438130_2.fastq.gz
VBS54955-6781STDY12150074	ERR9438131	/seq/illumina/runs/44/44101/lane2/plex5/44101_2#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438131/ERR9438131_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438131/ERR9438131_2.fastq.gz
VBS54956-6781STDY12150075	ERR9438132	/seq/illumina/runs/44/44101/lane2/plex6/44101_2#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438132/ERR9438132_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438132/ERR9438132_2.fastq.gz
VBS54958-6781STDY12150076	ERR9438133	/seq/illumina/runs/44/44101/lane2/plex7/44101_2#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438133/ERR9438133_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438133/ERR9438133_2.fastq.gz
VBS54959-6781STDY12150077	ERR9438134	/seq/illumina/runs/44/44101/lane2/plex8/44101_2#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438134/ERR9438134_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438134/ERR9438134_2.fastq.gz
VBS54961-6781STDY12150078	ERR9438135	/seq/illumina/runs/44/44101/lane2/plex9/44101_2#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438135/ERR9438135_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438135/ERR9438135_2.fastq.gz
VBS54962-6781STDY12150079	ERR9438136	/seq/illumina/runs/44/44101/lane2/plex10/44101_2#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438136/ERR9438136_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438136/ERR9438136_2.fastq.gz
VBS54963-6781STDY12150080	ERR9438137	/seq/illumina/runs/44/44101/lane2/plex11/44101_2#11.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438137/ERR9438137_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438137/ERR9438137_2.fastq.gz
VBS54964-6781STDY12150081	ERR9438138	/seq/illumina/runs/44/44101/lane2/plex12/44101_2#12.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438138/ERR9438138_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438138/ERR9438138_2.fastq.gz
VBS54965-6781STDY12150082	ERR9438115	/seq/illumina/runs/44/44101/lane1/plex1/44101_1#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438115/ERR9438115_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438115/ERR9438115_2.fastq.gz
VBS54966-6781STDY12150083	ERR9438116	/seq/illumina/runs/44/44101/lane1/plex2/44101_1#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438116/ERR9438116_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438116/ERR9438116_2.fastq.gz
VBS54967-6781STDY12150084	ERR9438117	/seq/illumina/runs/44/44101/lane1/plex3/44101_1#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438117/ERR9438117_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438117/ERR9438117_2.fastq.gz
VBS54968-6781STDY12150085	ERR9438118	/seq/illumina/runs/44/44101/lane1/plex4/44101_1#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438118/ERR9438118_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438118/ERR9438118_2.fastq.gz
VBS54969-6781STDY12150086	ERR9438119	/seq/illumina/runs/44/44101/lane1/plex5/44101_1#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438119/ERR9438119_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438119/ERR9438119_2.fastq.gz
VBS54970-6781STDY12150087	ERR9438120	/seq/illumina/runs/44/44101/lane1/plex6/44101_1#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438120/ERR9438120_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438120/ERR9438120_2.fastq.gz
VBS54971-6781STDY12150088	ERR9438121	/seq/illumina/runs/44/44101/lane1/plex7/44101_1#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438121/ERR9438121_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438121/ERR9438121_2.fastq.gz
VBS54972-6781STDY12150089	ERR9438122	/seq/illumina/runs/44/44101/lane1/plex8/44101_1#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438122/ERR9438122_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438122/ERR9438122_2.fastq.gz
VBS54973-6781STDY12150090	ERR9438123	/seq/illumina/runs/44/44101/lane1/plex9/44101_1#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438123/ERR9438123_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438123/ERR9438123_2.fastq.gz
VBS54974-6781STDY12150091	ERR9438124	/seq/illumina/runs/44/44101/lane1/plex10/44101_1#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438124/ERR9438124_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438124/ERR9438124_2.fastq.gz
VBS54975-6781STDY12150092	ERR9438125	/seq/illumina/runs/44/44101/lane1/plex11/44101_1#11.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438125/ERR9438125_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438125/ERR9438125_2.fastq.gz
VBS54976-6781STDY12150093	ERR9438126	/seq/illumina/runs/44/44101/lane1/plex12/44101_1#12.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438126/ERR9438126_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438126/ERR9438126_2.fastq.gz
VBS54977-6781STDY12150094	ERR9438103	/seq/illumina/runs/44/44090/lane2/plex1/44090_2#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438103/ERR9438103_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438103/ERR9438103_2.fastq.gz
VBS54978-6781STDY12150095	ERR9438104	/seq/illumina/runs/44/44090/lane2/plex2/44090_2#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438104/ERR9438104_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438104/ERR9438104_2.fastq.gz
