EA18-0059	Tanzania	Moshi	VBS54939	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438092/ERR9438092_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438092/ERR9438092_2.fastq.gz
EA18-0061	Tanzania	Moshi	VBS54941	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438093/ERR9438093_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438093/ERR9438093_2.fastq.gz
EA18-0062	Tanzania	Moshi	VBS54942	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438094/ERR9438094_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438094/ERR9438094_2.fastq.gz
EA18-0063	Tanzania	Moshi	VBS54943	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438095	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438095/ERR9438095_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438095/ERR9438095_2.fastq.gz
EA18-0064	Tanzania	Moshi	VBS54944	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438096	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438096/ERR9438096_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438096/ERR9438096_2.fastq.gz
EA18-0066	Tanzania	Moshi	VBS54945	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438097/ERR9438097_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438097/ERR9438097_2.fastq.gz
EA18-0067	Tanzania	Moshi	VBS54946	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438098/ERR9438098_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438098/ERR9438098_2.fastq.gz
EA18-0068	Tanzania	Moshi	VBS54947	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438099	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438099/ERR9438099_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438099/ERR9438099_2.fastq.gz
EA18-0069	Tanzania	Moshi	VBS54948	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438100/ERR9438100_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438100/ERR9438100_2.fastq.gz
EA18-0070	Tanzania	Moshi	VBS54949	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438101	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438101/ERR9438101_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438101/ERR9438101_2.fastq.gz
EA18-0071	Tanzania	Moshi	VBS54950	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438102	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438102/ERR9438102_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438102/ERR9438102_2.fastq.gz
EA18-0072	Tanzania	Moshi	VBS54951	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438127/ERR9438127_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438127/ERR9438127_2.fastq.gz
EA18-0073	Tanzania	Moshi	VBS54952	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438128/ERR9438128_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438128/ERR9438128_2.fastq.gz
EA18-0075	Tanzania	Moshi	VBS54953	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438129/ERR9438129_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438129/ERR9438129_2.fastq.gz
EA18-0076	Tanzania	Moshi	VBS54954	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438130/ERR9438130_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438130/ERR9438130_2.fastq.gz
EA18-0077	Tanzania	Moshi	VBS54955	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438131	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438131/ERR9438131_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438131/ERR9438131_2.fastq.gz
